time,airspeed,altitude,vertical_speed,engine_rpm,engine_temp,fuel_flow,anomaly_label,anomaly_score
0,254.96714153011231,29662.41086251281,-172.6987209929868,81.65775592530073,649.5046210442066,2432.1505269512777,1,0.07064289522139923
1,248.61735698828812,29927.74066464224,-6.240697787816795,83.10720749878664,642.4452460943661,2469.450053694635,1,0.015385521467145362
2,256.4768853810069,29603.790039500014,3.603374408889317,82.17381944927726,647.4143756381951,2440.2618938954856,1,0.06371991951975181
3,265.2302985640803,29846.01923518048,94.52606916868112,83.35601254377659,660.7209759127655,2511.041804694612,1,0.061307526647545435
4,247.65846625276663,29053.192666523108,-273.3716726561653,84.35754906786643,669.1678498254577,2619.7178531461914,1,0.24257629478338796
5,247.6586304305082,30106.64685368647,118.51345476946614,87.51146345899416,658.5573099629536,2422.8957842858795,1,0.06366117872449688
6,265.7921281550739,30000.60273768111,-540.8783263205551,84.0365228838829,651.5258481270765,2600.0820497768414,1,0.28731970664992773
7,257.6743472915291,29591.455684465906,-125.97691047276209,80.24312287969123,672.4701765545664,2421.8327927653118,1,0.1893985331771286
8,245.30525614065047,30329.622834216203,-97.65476849030892,88.42020353948548,645.3074529042271,2415.237278750312,1,0.08437370444253633
9,255.42560043585965,30468.78506881328,126.6653652142477,82.48872959915488,665.4637900755037,2581.8594618343213,1,0.11613112994727957
10,245.36582307187535,29196.220067815517,4.526170535373828,84.82383871868612,645.6790580247308,2592.1936378007617,1,0.10865349824856155
11,245.34270246429745,29618.63761071689,-281.1126107712573,86.33960952082214,656.4653443701634,2585.140993676265,1,0.12853764762439215
12,252.41962271566035,29615.42882510635,-196.99862516340303,85.59883125520835,648.2965615281432,2368.420259178186,1,0.10517641918989928
13,230.867197553422,29530.048449445567,39.73600190948138,88.28253864256443,649.1622172602079,2453.404902192795,1,0.14866477335910336
14,232.75082167486968,30414.737420965877,-15.813468372911258,86.43700943017828,644.3392022380668,2582.298859200332,1,0.1519775653889598
15,244.37712470759027,29903.0869306136,-115.82482192714927,82.41607126090868,670.1728104677104,2504.1541840563896,1,0.08716494733920839
16,239.87168879665575,29867.742579344696,-96.16675790239589,91.53568652197498,639.0061094283719,2392.6307153802536,1,0.21716956281990776
17,253.14247332595275,28998.068817796626,139.2335994318578,85.5830003900147,638.8965162117694,2545.831793912544,1,0.18644688868569262
