time,airspeed,altitude,vertical_speed,engine_rpm,engine_temp,fuel_flow
0,254.96714153011231,29662.41086251281,-172.6987209929868,81.65775592530073,649.5046210442066,2432.1505269512777
1,248.61735698828815,29927.740664642242,-6.240697787816795,83.10720749878664,642.4452460943661,2469.450053694635
2,256.4768853810069,29603.790039500018,3.603374408889317,82.17381944927726,647.4143756381951,2440.2618938954856
3,265.2302985640803,29846.01923518048,94.52606916868113,83.35601254377659,660.7209759127655,2511.041804694612
4,247.65846625276663,29053.192666523108,-273.3716726561653,84.35754906786643,669.1678498254577,2619.7178531461914
5,247.6586304305082,30106.64685368647,118.51345476946614,87.51146345899416,658.5573099629536,2422.8957842858795
6,265.7921281550739,30000.60273768111,-540.8783263205551,84.0365228838829,651.5258481270765,2600.0820497768414
7,257.6743472915291,29591.455684465906,-125.97691047276207,80.24312287969123,672.4701765545664,2421.8327927653113
8,245.30525614065047,30329.622834216203,-97.65476849030892,88.42020353948548,645.3074529042271,2415.2372787503114
9,255.42560043585965,30468.78506881328,126.6653652142477,82.48872959915488,665.4637900755037,2581.8594618343213
10,245.36582307187538,29196.220067815513,4.526170535373828,84.82383871868612,645.6790580247308,2592.1936378007617
11,245.34270246429742,29618.637610716894,-281.1126107712573,86.33960952082214,656.4653443701634,2585.140993676265
12,252.41962271566035,29615.42882510635,-196.99862516340303,85.59883125520835,648.2965615281432,2368.420259178186
13,230.86719755342202,29530.048449445567,39.73600190948138,88.28253864256443,649.1622172602079,2453.404902192795
14,232.75082167486968,30414.737420965874,-15.813468372911258,86.43700943017828,644.3392022380668,2582.298859200332
15,244.37712470759027,29903.086930613597,-115.82482192714929,82.41607126090868,670.1728104677104,2504.1541840563896
16,239.87168879665577,29867.742579344696,-96.16675790239587,91.53568652197498,639.0061094283719,2392.6307153802536
17,253.14247332595275,28998.068817796622,139.2335994318578,85.5830003900147,638.8965162117694,2545.831793912544
18,240.91975924478788,30317.709015104614,-103.53851457384293,84.55797932013549,681.8149034876766,2428.519274100853
19,235.87696298664707,29380.370802573263,-17.618248805814655,87.89177626916671,664.667713469815,2679.452484839221
20,264.65648768921557,30029.966315133162,433.98731761610856,85.74835283779022,614.2232945196045,2654.484146241826
21,247.74223699513465,30138.688468979097,-284.73652737678464,86.19768457881798,641.5211189118439,2560.4097426355565
22,250.67528204687923,30680.329297919325,-370.36854631493173,92.47655199580205,622.8201599365692,2636.1006704769775
23,235.75251813786542,29345.589800440444,156.71793295972134,84.17463571523486,635.7396395987712,2506.4791350123382
24,244.55617275474816,28490.243922089587,-135.72861225882065,84.04671731794781,602.9222800064894,2576.5437494375014
25,251.10922589709867,30091.924772376846,-63.64750554852405,85.34973553603739,647.9451563345908,2647.7720295302074
26,238.49006422577696,30900.255590755427,-156.23127562622284,88.21454780674311,632.8708727125803,2524.549868179431
27,253.75698018345673,30619.473176469717,-51.9600281535025,80.4803979094288,650.8985788519466,2474.4812828485715
28,243.99361310081196,30104.829707637313,319.70762241926826,79.10333232557048,625.6231811167621,2329.5378041822883
29,247.08306250206724,29754.181907183975,160.42569172362386,83.23865418813956,651.2436777975806,2491.6866474278504
30,243.98293387770602,30403.561298318655,172.44470237739543,80.09823112282214,643.7762558281951,2582.342318456231
31,268.52278184508936,29513.226900147765,-283.2454111585291,83.72550595742308,672.5292944778289,2594.563342756763
32,249.86502775262065,30238.17888467811,-230.23074731057386,86.50749908838787,671.1703529261844,2550.436506571841
33,239.42289071044098,30252.73507958331,-567.8157318970854,82.32775340934322,661.7801840451542,2445.870090503776
34,258.2254491210319,30530.10495374944,-161.8761642165508,80.71952026965597,645.1007932900818,2302.317843105241
35,237.79156350028978,31379.830019455538,191.3406372771317,85.20801148514605,679.7807059289044,2450.4784901995263
36,252.08863595004755,30196.207983589382,103.38930314967418,87.5876304538455,626.7044708324026,2469.565512894605
37,230.40329876120225,29745.518187146252,-44.30265259042478,79.91507968445016,628.9466205565451,2468.7071032809986
38,236.7181395110157,29987.212843904003,-4.46005674361061,87.46069719491796,648.7432535016641,2561.8556356977924
39,251.96861235869125,29115.46204755544,-137.77710851508112,87.45191861121498,683.8105716338168,2698.567641101484
40,257.3846657999541,29652.643434455473,40.951776480356834,87.86225530646989,646.9649163969486,2512.3529201841093
41,251.7136828118997,29795.358780943447,153.17565589612298,88.65544064461506,647.2513213518607,2478.326821084354
42,248.8435171761176,29737.955801032705,-323.1773574820946,91.60604177397884,628.3713446583229,2474.077818699591
43,246.98896304410712,30076.17743601686,59.92953756746962,83.93172385414283,664.1889437790556,2512.4384766907715
44,235.21478009632574,29588.7900338089,186.48697419093344,85.32871474023358,664.2976438149403,2417.1706239651603
45,242.8015579160529,30560.515333662235,-83.02005779267392,83.75068470025592,661.8361280209987,2512.0198558746056
46,245.39361229040213,30000.1035324591,140.14012242411673,85.00593053426743,640.5616899072895,2545.08123363318
47,260.57122226218917,29995.34983943069,562.9308888945106,89.59862006690894,639.399398474405,2520.9686063574486
48,373.906030059033,29836.05264174354,-20.868558597378385,46.614219277955456,733.6514922750642,2545.754193400478
49,232.36959844637266,30077.59534192949,78.66141000106472,82.41685098350328,651.258087526414,2543.3747609348534
50,253.24083969394795,30412.549132333817,-147.61141673227831,89.13154280951369,633.7938900608225,2322.8103317753557
51,246.14917719583684,29566.43489214455,36.25023252041008,88.06010952070626,632.3387524212607,2563.6870158395404
52,243.2307799969404,29670.941755462372,92.05432499646076,83.91060505954877,643.6446392463398,2432.8985154337547
53,256.1167628884087,29848.13698561167,38.96846805402761,87.56320600336215,642.6626573722367,2390.4160836996043
54,260.3099952249595,29327.064538263392,-203.93906394177134,86.0236475274761,641.9303220676707,2389.5548172145004
55,259.312801191162,29590.371070139252,41.27235426509014,89.50082382700296,656.996668952604,2543.354161047253
56,241.60782476777362,29761.88956322767,292.4391877435274,85.22352878148031,651.1857170322542,2477.7425072775145
57,246.90787624148786,30437.194590356365,89.72715290290546,88.07689634161775,645.6776595423332,2331.8031216014588
58,253.31263431403565,30131.280664500962,192.3974378143682,92.92603573147787,652.7451939246722,2547.8037815192283
59,259.7554512712236,30096.794955683774,-47.40239400252555,86.79429746514239,635.1270943834305,2356.039186920117
60,245.2082576215471,30425.448981083988,149.9800478847421,85.14798449738453,651.5791793586452,2513.982135851821
